owner.login_name	owner.type	open_issues_count	has_wiki	has_downloads	has_projects	archived	size	fork	owner_popularity	contributor_popularity	average_commit_char_count	num_contributors	num_pull_requests	num_releases	commits	created_time	updated_time
pranavg189_lxmixer	1	3	1	1	1	0	257	0	18	0	61.07142857142857	2	1	0	14	20141231	20180719
pranavkantgaur_Chew2DCDT	1	0	1	1	1	0	524	0	0	0	16.0	1	0	0	4	20150327	20171117
pranavkantgaur_HackerRankCodes	1	0	1	1	1	0	140	0	0	0	13.6	1	0	0	5	20150329	20150329
pranavkantgaur_SkeltrackHeuristicGestures	1	0	1	1	1	0	136	0	0	0	32.4	1	0	0	5	20150611	20150611
pranavmenon_TicTacToe-1player	1	0	1	1	1	0	120	0	0	0	23.0	1	0	0	6	20130914	20131122
prasaathviki_advstring	1	0	1	1	1	0	204	0	0	0	111.16666666666667	1	0	3	6	20140306	20170329
prasad33ankit_HackerRank	1	0	1	1	1	0	683	0	0	0	30.0	1	0	0	6	20170908	20170908
prashantrar_photon_fft	1	0	1	1	1	0	20	0	0	0	11.0	1	0	0	14	20160309	20160309
prashantrar_photon_math	1	0	1	1	1	0	6	0	0	0	28.8	1	0	0	10	20160219	20160219
prateek96_Relational-Algebra	1	0	1	1	1	0	24	0	0	0	25.166666666666668	1	0	0	12	20161202	20170308
pratesufop_vlpl	1	1	1	1	1	0	27	0	0	0	36.714285714285715	1	0	0	7	20131016	20151013
pratiksampat_cpp2048	1	0	1	1	1	0	4	0	0	0	14.5	1	0	0	2	20151221	20151221
praveenmaddy_test	1	0	1	1	1	0	144	0	0	0	12.0	1	0	0	7	20150518	20150519
prec_cpp-stopwatch	1	6	0	0	1	0	168	0	0	0	97.2	1	0	0	10	20150617	20150617
precla_domain2host	1	0	1	1	1	0	28	0	6	0	40.61538461538461	2	0	0	26	20150221	20160615
preco21_StringConvert	1	0	0	1	0	0	13	0	0	0	25.7	1	0	0	30	20141023	20180713
preco21_win-console-helper	1	0	0	1	0	0	14	0	0	0	17.68421052631579	1	0	0	19	20140728	20180406
predmond_practice	1	0	1	1	1	0	156	0	0	0	14.0	1	0	0	5	20131017	20131223
preet_respk	1	0	1	1	1	0	132	0	0	0	60.666666666666664	1	0	0	3	20150413	20150413
preethamrn_Algorithms	1	0	1	1	1	0	316	0	0	0	21.0	1	0	0	8	20150114	20150114
preethamrn_BLOBv0.1	1	0	1	1	1	0	16189	0	0	0	27.4	1	0	0	5	20150114	20161221
preethamrn_XCraft	1	0	1	1	1	0	140	0	0	0	14.333333333333334	1	0	0	3	20150114	20150114
prernabellara_C-Code	1	0	1	1	1	0	124	0	0	0	20.571428571428573	1	0	0	7	20151020	20151020
